id,adres_id,nazwa,imie,nazwisko,nip
1,1,,Mikołaj,Łopatto,
2,2,,Marek,Kierkowski,
3,3,Tadeusz Bobowski z o.o.,Tadeusz,Bobowski,2421056084
4,4,,Ferdynand,Czopór,
5,5,Tytus Schleyen z o.o.,Tytus,Schleyen,5168926725
6,6,Jan Bartosiewicz z o.o.,Jan,Bartosiewicz,1220683730
7,7,Włodzimierz Ruchaj z o.o.,Włodzimierz,Ruchaj,2328070200
8,8,Benedykt Arczyński z o.o.,Benedykt,Arczyński,4151333925
9,9,,Edwin,Galiński,
10,10,,Ksawery,Sidor,
11,11,,Franciszek,Taczak,
12,12,Adolf Pecka z o.o.,Adolf,Pecka,7422627889
13,13,Leszek Dadlez z o.o.,Leszek,Dadlez,8949688596
14,14,Felicjan Wojtkielewicz z o.o.,Felicjan,Wojtkielewicz,3244250153
15,15,Kanty Witwicki z o.o.,Kanty,Witwicki,8270070982
16,16,,Lucjan,Rómmel,
17,17,,Leonard,Cegielski,
18,18,,Plato,Szymkowiak,
19,19,,Alfred,Bazarnik,
20,20,,Czesław,Piech,
21,21,,Jerzy,Cząstka,
22,22,,Gwidon,Ryziński,
23,23,,Modest,Sztark,
24,24,Leonard Węda z o.o.,Leonard,Węda,2323251633
25,25,,Korneliusz,Biernat,
26,26,,Ottokar,Nowiński,
27,27,,Edmund,Tarchalski,
28,28,,Antoni,Skierski,
29,29,Walery Miciński z o.o.,Walery,Miciński,2678389611
30,30,,Juliusz,Dropiński,
31,31,,Justyn,Maresz,
32,32,,Jakub,Czerny,
33,33,Leszek Jastrzębski z o.o.,Leszek,Jastrzębski,4458661979
34,34,Artur Hinterhoff z o.o.,Artur,Hinterhoff,4544317304
35,35,,Łucjan,Skrzywanek,
36,36,,Jędrzej,Żołędziowski,
37,37,,Franciszek,Czaykowski,
38,38,Edwin Ćwiertniak z o.o.,Edwin,Ćwiertniak,6933548409
39,39,Jakub Gadomski z o.o.,Jakub,Gadomski,8691648852
40,40,,Leopold,Śpiewak,
41,41,,Gustaw,Piech,
42,42,,Melchior,Psarski,
43,43,,Hipolit,Nowak,
44,44,,Olgierd,Balko,
45,45,Wincenty Romański z o.o.,Wincenty,Romański,4382329183
46,46,,Szczęsny,Hauser,
47,47,,Marek,Bańkowski,
48,48,,Romuald,Lisiewicz,
49,49,Marceli Hecht z o.o.,Marceli,Hecht,5888544087
50,50,,Szymon,Barcikowski,
51,51,Henryk Łączyński z o.o.,Henryk,Łączyński,2970983472
52,52,Rafał Łączyński z o.o.,Rafał,Łączyński,1266382837
53,53,Bolesław Bacz z o.o.,Bolesław,Bacz,8895731221
54,54,,Bolesław,Niewęgłowski,
55,55,,Szczęsny,Wójcik,
56,56,,Józef,Cybulski,
57,57,Jerzy Mojżyszek z o.o.,Jerzy,Mojżyszek,3667067087
58,58,Walery Rożniecki z o.o.,Walery,Rożniecki,5542565077
59,59,,Edmund,Woyniłłowicz,
60,60,Marek Prus-Więckowski z o.o.,Marek,Prus-Więckowski,7861346127
61,61,Ottokar Tumidajski z o.o.,Ottokar,Tumidajski,2256190567
62,62,,Ottokar,Raypert,
63,63,,Czesław,Macieliński,
64,64,Ferdynand Słabicki z o.o.,Ferdynand,Słabicki,3926624326
65,65,,Bronisław,Poznański,
66,66,,Feliks,Słoniowski,
67,67,Edwin Blew z o.o.,Edwin,Blew,8230019670
68,68,,Lucjan,Algajer,
69,69,,Olgierd,Makowski,
70,70,,Jakub,Wartha,
71,71,,Alfred,Szenajch,
72,72,,Bertold,Kruk-Strzelecki,
73,73,Ksawery Bogusz z o.o.,Ksawery,Bogusz,5229319926
74,74,,Marcin,Małachowski,
75,75,,Franciszek,Dzióbek,
76,76,,Brunon,Targowski-Tarnawa,
77,77,Tomasz Pajewski z o.o.,Tomasz,Pajewski,3283096076
78,78,,Romuald,Ratułowski,
79,79,,Otton,Barański,
80,80,Leopold Znamirowski z o.o.,Leopold,Znamirowski,6859320973
