ID,MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU,NR_LOKALU
1,Bagienki,97-505,Teczy,792,
2,Lubenka,50-657,Polnocna,369,35
3,Adamówek,97-800,Bajkowa,444,
4,Kuranów,74-424,Sezamkowa,217,34
5,Grabianów,41-186,Mlynska,300,84
6,Lubatka,92-777,Nasturcji,945,95
7,Rogawica,46-295,Akacjowa,858,
8,Bachów,95-487,Jezynowa,959,
9,Grabianów,48-857,Slowikow,990,78
10,Krzesimowo,99-991,Plowce,935,46
11,Gorzkowiczki,41-858,Szpitalna,854,26
12,Baranów,68-501,Szkutnicza,287,61
13,Rogaszyn,99-503,Stokrotek,805,58
14,Antoniówka,46-947,Mlynska,262,54
15,Bagienice,85-458,Modrzewiowa,260,99
16,Krakowiany,50-530,Tradycji,966,73
17,Rogienice,31-216,Zefirowa,56,74
18,Kraplewo,77-233,Malownicza,335,
19,Adamowo,73-526,Pancerniakow,974,
20,Bajerze,71-102,Jasminowa,960,
21,Bajkowizna,47-355,Morska,713,77
22,Gorzków,63-418,Lniana,10,19
23,Krzepocinek,31-637,Limbowa,114,67
24,Antoniny,83-535,Zlotych Klosow,515,58
25,Balewko,79-568,Zielona,793,
26,Gorzyczany,69-405,Rzemieslnicza,811,
27,Antonina,24-656,Wedrowna,793,
28,Balewko,81-304,Smiala ,371,2
29,Abramy,88-847,Azaliowa,974,
30,Kramkowo,48-649,Smiala ,806,
31,Grabarka,68-799,Macierzy,327,
32,Krapkowice,31-943,Diamentowa,78,
33,Krakuszowice,96-967,Koronkowa,227,
34,Adamki,94-662,Mlynska,208,80
35,Rogawka,23-709,Morska,345,38
36,Lalkowy,12-374,Topolowa,796,13
37,Gorzyca,92-518,Zurawinowa,74,
38,Lubiaszów,98-939,Boczna,693,96
39,Laskowo,55-295,Podmiejska,133,73
40,Leszczyn,84-885,Biwakowa,759,
41,Leszczyniak,53-313,Slaska,563,
42,Antomieszki,73-837,Promykowa,230,96
43,Barciany,10-655,Strumykowa,155,15
44,Banino,11-292,Ksiezycowa,898,
45,Balinka,20-398,Slonecznikow,30,73
46,Lubecko,39-744,Morska,210,61
47,Balków,10-831,Hebanowa,400,79
48,Adamin,57-387,Zefirowa,683,58
49,Barcice,81-117,Magnolii,701,13
50,Rogienice,28-620,Blekitna,765,31
51,Leszczyny,38-950,Mlynska,781,34
52,Lubianka,12-814,Nagietkow,916,
53,Rogalki,95-334,Biwakowa,812,28
54,Lamkówko,62-536,Sportowa,548,
55,Laskowo,92-477,Gajowa,575,28
56,Landzmierz,92-748,Diamentowa,372,
57,Grabce,74-355,Klonowa,847,
58,Bachmatówka,66-690,Gozdzikow,123,
59,Laskowa,83-325,Przyjazni,47,37
60,Lafajetowo,52-408,Wspolna,768,
61,Bagniewo,85-937,Solecka,239,
62,Kuranów,95-325,Niezapominajek,326,23
63,Kraków,86-680,Szeroka,569,
64,Bañska,21-275,Orzechowa,480,
65,Baliki,46-257,Lniana,99,80
66,Antoninek,68-131,Szafranowa,588,5
67,Lubian,83-980,Plowce,808,
68,Lubaszcz,25-307,Swierkowa,863,
69,Bajorski,88-834,Jachtowa,372,
70,Bachorza,55-237,Bajkowa,844,99
71,Lubianek,63-906,Niepodleglosci,520,
72,Lalin,68-308,Poziomkowa,13,
73,Antonin,40-804,Wypoczynkowa,668,95
74,Gorzów,75-248,Truskawkowa,135,
75,Leszczynki,59-871,Rzepakowa,379,
76,Balków,66-955,Sanatoryjna,945,
77,Rogalik,96-342,Azaliowa,878,
78,Adamowizna,18-806,Ksiezycowa,398,
79,Bajtkowo,41-446,Slowianska,178,
80,Grabek,60-743,Niezapominajek,235,
81,Baldwinowice,67-687,Mirtowa,176,75
82,Lubiana,75-155,Solecka,117,
83,Laska,41-614,Orlikow,699,
84,Gorzyce,59-441,Pogodna,130,
85,Baranówek,71-881,Blawatkow,305,48
86,Lubianków,36-827,Przyjazni,286,
87,Bandrów,70-506,Orzechowa,630,
88,Bagna,53-817,Slowikow,482,86
89,Laliny,63-299,Glogowa,64,96
90,Bandysie,24-544,Spacerowa,200,
91,Lubasz,85-425,Brzoskwiniowa,469,
92,Kramsk,89-246,Rybacka,495,71
93,Bañska,76-540,Hebanowa,243,74
94,Antoniny,46-489,Szyprow,444,
95,Lalin,93-313,Rzepakowa,976,52
96,Adaminowo,73-273,Polna,198,90
97,Krzeptów,92-508,Skowronkow,70,
98,Leszczynka,65-429,Truskawkowa,558,
99,Kup,32-450,Strumykowa,993,
100,Anonin,80-187,Owsiana,809,
101,Rogiedle,79-704,Zytnia,958,
102,Kramarka,13-553,Wodnika,965,
103,Bachowice,93-983,Zgoda,755,
104,Gorzkowice,81-952,Gajowa,298,
105,Grabanów,13-365,Macierzy,819,72
106,Baraki,85-162,Jesionowa,638,
107,Landek,75-787,Lakowa,586,
108,Bachmatówka,19-740,Morska,673,
109,Antoniewko,72-646,Makow,965,43
110,Lubartów,84-150,Niezapominajek,436,23
111,Bagienica,15-460,Malinowa,326,
112,Barcza,79-726,Debowa,477,79
113,Bajerze,97-688,Przyjazni,483,10
114,Adamówek,28-502,Jasna,932,3
115,Baranowice,56-372,Truskawkowa,727,
116,Abramowice,85-237,Szeroka,372,
117,Bajdyty,25-179,Lesna,864,
118,Grabczok,74-871,Wiatrow,212,
119,Baciki,50-668,Roz,91,36
120,Grabianowo,96-857,Letnia,829,
121,Antonia,85-346,Promykowa,440,21
122,Baciki,72-226,Promowa,958,90
123,Bajorski,95-447,Plowce,715,
124,Adaminowo,59-936,Szyprow,402,
125,Bagna,48-824,Biwakowa,12,17
126,Balinka,11-525,Wodnika,300,
127,Kupiatycze,21-518,Rubinowa,720,22
128,Lubiaszów,25-797,Cisowa,819,91
129,Baraki,51-132,Lesna,990,
130,Barcie,50-333,Kupiecka,149,77
131,Balin,34-892,Zwyciestwa,737,
132,Bagniewko,42-214,Rzepakowa,762,
133,Leszczyniak,11-297,Skowronkow,779,
134,Krzepice,33-443,Mahoniowa,994,
135,Laliny,32-629,Azaliowa,763,93
136,Gorzów,50-167,Stokrotek,362,26
137,Rogatka,60-121,Ptasia,783,
138,Kramkówka,39-547,Swierkowa,332,
139,Barcinek,25-333,Wichrowa,984,
140,Lubawka,25-178,Liliowa,665,
141,Kramarzyny,77-920,Jodlowa,906,54
142,Banica,97-116,Zakole,399,
143,Kupin,64-966,Jagodowa,261,70
144,Bañkowszczyzna,84-357,Panoramiczna,336,2
145,Bajdy,72-346,Prosta,746,
146,Gorzyczki,38-317,Cicha,75,9
147,Balice,29-460,Roz,346,43
148,Barchnowy,52-217,Kalinowa,859,44
149,Antonówka,68-118,Blawatkow,430,42
150,Bachórz,24-482,Debowa,216,
151,Balinka,57-169,Hebanowa,667,71
152,Rogieniczki,28-186,Poziomkowa,601,
153,Rogalów,48-912,Bzow,812,
154,Bagno,22-671,Szpitalna,397,73
155,Adamowice,37-514,Czeresniowa,398,
156,Baranowiec,63-591,Nadbrzezna,821,
157,Baldwinowice,62-133,Pancerniakow,268,76
158,Banino,18-236,Gozdzikow,188,93
